text,id,userid,username,created_at,likes,retweets,isquote,is_retweet,mentions,hashtags,reply_to,geo,place,text_clean
"Guys mending kita trendingin ini aja.. Nggak usah spam purple heart dulu, takutnya isu ini malah ketimbun 🙏
#BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE",1266609362530779136,1067061397182275584,AnhyAnanda,2020-05-30 05:56:19,1,4,False,False,[],"['BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE']",,,,guys mending trendingin aja spam purple heart takutnya isu ketimbun blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree
"Yg lihat ini rep/rt yaaa!!! 
#BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE",1266609358588108803,1254338217752489986,jeykeytime,2020-05-30 05:56:18,0,14,False,False,[],"['BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE']",,,,lihat reprt yaaa blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree
"Kalo lewat, tolong rt ya!

#BlackLivesMatters #RAISETHEDEGREE #BlacklivesMatters #RAISETHEDEGREE #BlacklivesMatters #RAISETHEDEGREE #BlacklivesMatters #RAISETHEDEGREE #BlacklivesMatters #RAISETHEDEGREE #BlackLivesMatters #RAISETHEDEGREE #BlacklivesMatters #RAISETHEDEGREE",1266609328246583297,1117382574366527488,yolobunjimin,2020-05-30 05:56:10,2,22,False,False,[],"['BlackLivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE', 'BlackLivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE']",,,,kalo rt blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree
"Rep sama RT nya amii
#BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE",1266609318742249472,1138626360652386304,bucinjk9,2020-05-30 05:56:08,1,1,False,False,[],"['BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE']",,,,rep rt nya amii blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree
"Karna aku gak tau?? Atau mungkin sebenernya tau cmn gak ngeh?? ya udah kita bersih-bersih aja 😊
#BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE",1266609302740979713,531179042,agung_nurr13,2020-05-30 05:56:04,0,0,False,False,[],"['BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE']",,,,karna gak tau sebenernya tau cmn gak ngeh bersihbersih aja blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree
"Masih ada yg spam purple heart? Berenti dulu bisa ga? Situasi nya ga tepat bego

#BlacklivesMatters #RAISETHEDEGREE #BlacklivesMatters #RAISETHEDEGREE #BlacklivesMatters #RAISETHEDEGREE #BlacklivesMatters #RAISETHEDEGREE #BlacklivesMatters #RAISETHEDEGREE",1266609274232266752,2705720310,pacarujin,2020-05-30 05:55:58,7,30,False,False,[],"['BlacklivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE', 'BlacklivesMatters', 'RAISETHEDEGREE']",,,,spam purple heart berenti ga situasi nya ga bego blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree
"yang lewat tl Rep/RT ya.

#BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE",1266609270927142912,1143501529543954432,dionysxn,2020-05-30 05:55:57,0,11,False,False,[],"['BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE']",,,,tl reprt blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree
"@rainnism_ Ayo peduli, salah satunya dengan cara rt/reply pakai hastag ini 

#BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE",1266609267106177024,1189107051621801984,epiphanyofmoon_,2020-05-30 05:55:56,0,0,False,False,['rainnism_'],"['BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE']",1.2666086341102428e+18,,,rainnism_ ayo peduli satunya rtreply pakai hastag blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree
@jmjee ht nya salah #BlackLivesMatters,1266609235296567298,1222016845777031168,ttaebie,2020-05-30 05:55:48,0,0,False,False,['jmjee'],['BlackLivesMatters'],1.2666089105400013e+18,,,jmjee ht nya blacklivesmatters
"yg liat plis tolong rt/rep
 
#BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE",1266609214857908230,4314518729,bunnytaetea,2020-05-30 05:55:43,1,1,False,False,[],"['BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE']",,,,liat plis rtrep blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree
